序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(202112),净利润(202112),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
186,000612,焦作万方,焦作万方铝业股份有限公司,河南,焦作市,--,--,2407,1996-09-26,--,,铝,电解铝液、铝锭及铝合金制品,铝冶炼及加工，铝制品、金属材料销售。
187,000613,*ST东海A,海南大东海旅游中心股份有限公司,海南,三亚市,--,--,120,1997-01-28,--,,酒店,旅游饮食服务,酒店住宿和餐饮服务。
188,000615,奥园美谷,奥园美谷科技股份有限公司,湖北,襄阳市,--,--,3565,1996-10-16,--,,房地产开发,化纤、房地产,美容医院服务、美容护肤产品生产销售等。
189,000616,ST海投,海航投资集团股份有限公司,辽宁,大连市,--,--,199,1996-11-08,--,,房地产开发,房地产业务、基金管理、养老服务,房地产业务、金融业务和养老业务。
190,000617,中油资本,中国石油集团资本股份有限公司,新疆,克拉玛依市,309.64亿,115.89亿,4292,1996-10-22,--,,其他非银行金融,银行业务、财务公司业务、金融租赁业务、信托业务、保险业务、保险经纪业务、证券业务、信用增进业务,银行业务、财务公司业务、金融租赁业务、信托业务、保险业务、保险经纪业务、证券业务、信用增进业务与智能化数字化业务。
191,000619,海螺型材,芜湖海螺型材科技股份有限公司,安徽,芜湖市,48.54亿,-1.54亿,4443,1996-10-23,--,,其他建材,建材、环保新材料,中高档塑料型材、门窗等的生产、销售以及科研开发。
192,000620,新华联,新华联文化旅游发展股份有限公司,北京,北京市,--,--,7469,1996-10-29,--,,房地产开发,商品房销售、文旅综合行业,文旅景区开发与运营、房地产项目开发建设、施工总承包、商业管理、酒店管理、物业服务、旅游服务。
193,000622,恒立实业,恒立实业发展集团股份有限公司,湖南,岳阳市,--,--,133,1996-11-07,--,,汽车零部件,乙二醇、氯化钴、三元前驱体、金属镍、煤炭、金属钴、国债逆回购、车用空调,汽车空调及零部件业务和贸易。
194,000623,吉林敖东,吉林敖东药业集团股份有限公司,吉林,延边朝鲜族自治州,--,--,4462,1996-10-28,--,,中药生产,中成药、化学药品、食品,从事中成药、生物化学药研发、制造和销售。
195,000625,长安汽车,重庆长安汽车股份有限公司,重庆,重庆市,--,--,40298,1997-06-10,--,,乘用车,销售商品、劳务,整车（含乘用车、商用车）的研发、制造和销售以及发动机的研发、生产。
196,000626,远大控股,远大产业控股股份有限公司,江苏,连云港市,815.62亿,2.84亿,811,1996-11-28,--,,贸易,商品贸易、物流代理,大宗商品贸易、出口、仓储物流等业务。
197,000627,天茂集团,天茂实业集团股份有限公司,湖北,荆门市,--,--,2379,1996-11-12,--,,保险,保险、医药、化工,通过控股子公司国华人寿从事保险业务。
198,000628,高新发展,成都高新发展股份有限公司,四川,成都市,--,--,1097,1996-11-18,--,,专业工程,建筑施工、智慧城市建设、运营及相关服务业务、期货及相关业务,建筑业和智慧城市建设、运营及相关服务业务。
199,000629,攀钢钒钛,攀钢集团钒钛资源股份有限公司,四川,攀枝花市,140.60亿,14.56亿,3278,1996-11-15,--,,普钢,钒、钛、电,钒产品、钛渣、钛白粉的生产、销售、技术研发和应用开发。
200,000630,铜陵有色,铜陵有色金属集团股份有限公司,安徽,铜陵市,--,--,14441,1996-11-20,--,,铜,阴极铜、硫酸、黄金、白银、铜箔、铜板带,铜、铁、硫金矿采选，铜、金、银、稀有贵金属冶炼及压延加工，硫酸、电子产品生产、铜加工产品等。
201,000631,顺发恒业,顺发恒业股份公司,吉林,长春市,--,--,615,1996-11-22,--,,房地产开发,房地产开发、物业服务管理、租赁物业,房地产开发与经营。
202,000632,三木集团,福建三木集团股份有限公司,福建,福州市,--,--,590,1996-11-21,--,,综合,建筑材料和金属材料、商品房及土地开发、化工产品、日用百货、船舶物料、食品与食品加工、机电产品、纺织品、物管费、租赁、酒店服务业、基金管理费、基金顾问费,进出口贸易、房地产开发、经营性物业运营管理和创业投资等。
203,000633,合金投资,新疆合金投资股份有限公司,新疆,和田地区,1.65亿,334.44万,205,1996-11-12,--,,其他金属新材料,冶金,镍基合金材料的生产与销售业务及园林绿化服务业务。
204,000635,英力特,宁夏英力特化工股份有限公司,宁夏,石嘴山市,--,--,2128,1996-11-20,--,,氯碱,化工、酒店,电石及其系列延伸产品的生产和销售；聚氯乙烯、烧碱及其系列延伸产品的生产和销售；特种树脂生产及销售；电力、热力的生产及销售。
205,000636,风华高科,广东风华高新科技股份有限公司,广东,肇庆市,--,--,7407,1996-11-29,--,,电子元件,片式电容器、片式电阻器、FPC线路板,研制、生产、销售电子元器件、电子材料等。
206,000637,茂化实华,茂名石化实华股份有限公司,广东,茂名市,55.72亿,8312.27万,738,1996-11-14,--,,石油加工,石油化工产品,石油化工产品的生产及销售经营。
207,000638,*ST万方,万方城镇投资发展股份有限公司,吉林,白山市,--,--,670,1996-11-26,--,,贸易,医院信息系统、医院信息平台、基于医院信息平台应用,军工、农业产业、医疗信息化软件开发和销售等。
208,000639,西王食品,西王食品股份有限公司,山东,滨州市,--,--,1957,1996-11-26,--,,植物油,植物油、营养补给品,健康食用油及运动营养和体重管理。
209,000650,仁和药业,仁和药业股份有限公司,江西,南昌市,--,--,6538,1996-12-10,--,,中药生产,药品、健康相关产品,生产、销售中西药、原料药及健康相关产品。
210,000651,格力电器,珠海格力电器股份有限公司,广东,珠海市,--,--,83952,1996-11-18,--,,空调,空调、生活电器、智能装备,生产销售空调器、自营空调器出口业务及其相关零配件的进出口业务。
211,000652,泰达股份,天津泰达股份有限公司,天津,天津市,--,--,1564,1996-11-28,--,,贸易,化工及金属制品贸易、商品房、广陵新城项目、垃圾处理及发电、纺织及滤材,从事生活垃圾焚烧发电及卫生填埋、餐厨、污泥处理和生物质能发电等资源循环利用相关业务。
212,000655,金岭矿业,山东金岭矿业股份有限公司,山东,淄博市,18.23亿,1.42亿,2552,1996-11-28,--,,铁矿石,矿石,铁矿石开采，铁精粉、铜精粉、钴精粉、球团矿的生产、销售及机械加工与销售。
213,000656,金科股份,金科地产集团股份有限公司,重庆,重庆市,--,--,22910,1996-11-28,--,,房地产开发,房地产销售、生活服务、新能源、科技产业(园区)投资运营业务,房地产开发为主，新能源发电、社区综合服务、酒店经营管理、园林、门窗、装饰等相关多元化产业经营为辅。
214,000657,中钨高新,中钨高新材料股份有限公司,海南,海口市,--,--,7546,1996-12-05,--,,钨,硬质合金,钨制硬质合金和钨、钼、钽、铌等有色金属及其深加工产品和装备的研制、开发、生产、销售及贸易业务。
215,000659,珠海中富,珠海中富实业股份有限公司,广东,珠海市,--,--,1896,1996-12-03,--,,包装印刷,饮料包装制品、饮料加工、胶罐业务、纸杯业务,"从事碳酸饮料、热灌装饮料、饮用水和啤酒包装用PET瓶、PET瓶胚、标签、外包装薄膜、胶罐、纸杯的生产与销售,并同时为企业提供饮用水、热灌装饮料代加工灌装服务。"
216,000661,长春高新,长春高新技术产业(集团)股份有限公司,吉林,长春市,107.47亿,38.97亿,8045,1996-12-18,--,,生物医药,房地产、基因生物制药、中成药、服务业,"以生物制药、中成药生产及销售、房地产开发为主导产业,辅以开发区基础设施建设、物业管理等。"
217,000662,天夏退,天夏智慧城市科技股份有限公司,广西,梧州市,--,--,37,1996-12-16,--,,行业应用软件,智慧城市,软件产品销售、系统集成建设与运营服务。
218,000663,永安林业,福建省永安林业(集团)股份有限公司,福建,三明市,--,--,592,1996-12-06,--,,木材加工,林业、人造板、家具装饰,森林资源培育与林木采伐经营、人造板经营。
219,000665,湖北广电,湖北省广播电视信息网络股份有限公司,湖北,武汉市,--,--,7726,1996-12-10,--,,有线电视,数字电视业务、时移回看业务、互动点播业务、增值业务、数据宽带业务、信息化业务、电视+互联网应用业务,有线电视网络运营。
220,000666,经纬纺机,经纬纺织机械股份有限公司,北京,北京市,--,--,7770,1996-12-10,--,,其他非银行金融,纺织机械、金融信托、资金投资、非纺机,纺织机械业务及金融信托业务。
221,000667,美好置业,美好置业集团股份有限公司,云南,昆明市,--,--,1988,1996-12-05,--,,房地产开发,房地产、PPP项目、农业、设计、施工、混凝土预制构件总承包,房地产开发、装配式建筑业务。
222,000668,荣丰控股,荣丰控股集团股份有限公司,上海,上海市,--,--,167,1996-12-10,--,,房地产开发,租赁、商品房销售、物业管理,房地产开发。
223,000669,ST金鸿,金鸿控股集团股份有限公司,吉林,吉林市,--,--,1160,1996-12-10,--,,燃气,燃气业务、环保业务,天然气综合利用业务，包括气源开发与输送、长输管网建设与管理、城市燃气经营与销售、车用加气站投资与运营、LNG点供、分布式能源项目开发与建设等。
224,000670,*ST盈方,盈方微电子股份有限公司,湖北,荆州市,28.90亿,5582.92万,159,1996-12-17,--,,半导体材料,集成电路设计及销售业务、电子元器件分销,集成电路芯片的研发、设计和销售、电子元器件分销。
225,000671,阳光城,阳光城集团股份有限公司,福建,福州市,--,--,21319,1996-12-18,--,,房地产开发,房地产、建工板块、酒店及其他板块,房地产开发与销售。
226,000672,上峰水泥,甘肃上峰水泥股份有限公司,甘肃,白银市,--,--,2433,1996-12-18,--,,水泥,基础建材产品,水泥熟料、水泥、特种水泥、混凝土、骨料等建材产品的生产制造和销售。
227,000673,*ST当代,当代东方投资股份有限公司,山西,大同市,--,--,265,1997-01-24,--,,影视,文化传媒,电视剧、影院运营、演唱会以及云计算、大数据、IT系统集成业务。
228,000676,智度股份,智度科技股份有限公司,广东,广州市,--,--,895,1996-12-24,--,,其他互联网服务,互联网媒体业务、数字营销业务,互联网媒体业务、数字营销业务及其他业务。
229,000677,恒天海龙,恒天海龙股份有限公司,山东,潍坊市,--,--,931,1996-12-26,--,,粘胶纤维,帘帆布,粘胶纤维及帘帆布的生产与销售。
230,000678,襄阳轴承,襄阳汽车轴承股份有限公司,湖北,襄阳市,--,--,3515,1997-01-06,--,,汽车零部件,汽车零部件、机器设备,从事轴承及其零部件的生产、科研、销售及相关业务。
231,000679,大连友谊,大连友谊(集团)股份有限公司,辽宁,大连市,--,--,467,1997-01-24,--,,百货,商品零售、房地产销售,以零售业、酒店业、房地产业为主，其它策略性投资为补充。
232,000680,山推股份,山推工程机械股份有限公司,山东,济宁市,91.60亿,2.11亿,5124,1997-01-22,--,,工程机械,工业产品销售、商业产品销售,建筑工程机械、矿山机械、农田基本建设机械、收获机械及配件的研究、开发、制造、销售、租赁、维修及技术咨询服务。
233,000681,视觉中国,视觉(中国)文化发展股份有限公司,江苏,常州市,--,--,483,1997-01-21,--,,网络媒体,互联网传媒,提供优质正版图片、视频等视觉内容及增值服务
234,000682,东方电子,东方电子股份有限公司,山东,烟台市,--,--,5665,1997-01-21,--,,电气自控设备,信息技术相关产业、非信息技术相关产业,电子及通信设备开发、生产、销售及咨询服务。
235,000683,远兴能源,内蒙古远兴能源股份有限公司,内蒙古,鄂尔多斯市,121.49亿,56.86亿,4467,1997-01-31,--,,纯碱,天然碱法制纯碱、小苏打、煤炭、煤制尿素、天然气制甲醇,天然碱法制纯碱和小苏打、煤炭、煤制尿素、天然气制甲醇等产品的生产和销售。
236,000685,中山公用,中山公用事业集团股份有限公司,广东,中山市,--,--,4606,1997-01-23,--,,污水处理,供水、污水、废液处理、市场租赁业、物业管理、客运服务、垃圾处理及发电收入、工程安装、环卫、利息,为保水务、固废处理、环卫服务、工程建设、金融与股权投资、市场运营、港口客运等领域。
237,000686,东北证券,东北证券股份有限公司,吉林,长春市,--,--,2858,1997-02-27,--,,证券,证券经纪、证券投资咨询、证券承销与保荐、融资融券、证券投资基金代销、代销金融产品业务,大零售业务、大投行业务、投资与销售交易业务和资产管理业务四个板块。
238,000687,*ST华讯,华讯方舟股份有限公司,河北,保定市,--,--,122,1997-02-21,--,,通信终端设备,军事通信及配套产品,军事通信应用领域相关产品及系统的研发、生产和销售。
239,000688,国城矿业,国城矿业股份有限公司,重庆,重庆市,17.09亿,1.88亿,1259,1997-01-20,--,,铅锌,有色金属采选业务、工业硫酸业务,有色金属采选业务及工业硫酸生产业务。
240,000690,宝新能源,广东宝丽华新能源股份有限公司,广东,梅州市,--,--,1312,1997-01-28,--,,火电,新能源发电、金融投资,新能源发电、金融投资。
241,000691,亚太实业,甘肃亚太实业发展股份有限公司,甘肃,兰州市,--,--,444,1997-02-28,--,,房地产开发,商品房、化工产品,精细化工产品的研发、生产及销售。
242,000692,惠天热电,沈阳惠天热电股份有限公司,辽宁,沈阳市,--,--,2426,1997-02-27,--,,其他发电,供热、设计,民用和工业用供热和供汽。
243,000695,滨海能源,天津滨海能源发展股份有限公司,天津,天津市,--,--,933,1997-02-18,--,,其他发电,印刷业务,包装印刷业务。
244,000697,炼石航空,炼石航空科技股份有限公司,陕西,咸阳市,--,--,1714,1997-03-25,--,,稀有金属,钼精粉、商用航空部件,航空精密零部件、结构件的生产和销售。
245,000698,沈阳化工,沈阳化工股份有限公司,辽宁,沈阳市,101.32亿,1.07亿,2621,1997-02-20,--,,石油加工,石油化工、氯碱化工、聚醚化工、其他,从事氯碱、石油、聚醚多元醇等化工产品的生产和销售。
246,000700,模塑科技,江南模塑科技股份有限公司,江苏,无锡市,--,--,5810,1997-02-28,--,,汽车零部件,汽车装饰件、房地、铸件、医疗,从事汽车保险杠等零部件、塑料制品、模具、模塑高科技产品的开发、生产和销售。
247,000701,厦门信达,厦门信达股份有限公司,福建,厦门市,--,--,5354,1997-02-26,--,,贸易,汽车经销业务、供应链业务、信息科技板块,汽车经销业务、供应链业务、物联网业务及光电业务。
248,000702,正虹科技,湖南正虹科技发展股份有限公司,湖南,岳阳市,--,--,1268,1997-03-18,--,,饲料,饲料、饲养、其他,研发生产销售饲料产品。
249,000703,恒逸石化,恒逸石化股份有限公司,广西,北海市,--,--,18154,1997-03-28,--,,涤纶,石化、聚酯、贸易,各类化工品、油品、化纤产品的研发、生产和销售。
250,000705,浙江震元,浙江震元股份有限公司,浙江,绍兴市,--,--,1938,1997-04-10,--,,医药商业,医药,从事药品生产、销售。
251,000707,双环科技,湖北双环科技股份有限公司,湖北,孝感市,30.64亿,4.23亿,1192,1997-04-15,--,,纯碱,联碱及其他化工产品、商品房销售、物业收入,联碱产品的生产与销售。
252,000708,中信特钢,中信泰富特钢集团股份有限公司,湖北,黄石市,973.32亿,79.61亿,23238,1997-03-26,--,,特钢,合金钢棒材、合金钢线材、特种钢板、特种无缝钢管、其他业务,专业化特殊钢材料制造。
253,000709,河钢股份,河钢股份有限公司,河北,石家庄市,--,--,35336,1997-04-16,--,,普钢,板材、棒材及型材、线材、带钢、钢坯、钒产品、气体、水电,黑色金属的冶炼和加工。
254,000710,贝瑞基因,成都市贝瑞和康基因技术股份有限公司,四川,成都市,--,--,1496,1997-04-22,--,,汽车零部件,基因检测、设备、试剂,以高通量测序技术为基础的基因检测服务和设备、试剂销售。
255,000711,京蓝科技,京蓝科技股份有限公司,黑龙江,哈尔滨市,--,--,1078,1997-04-11,--,,节水灌溉,生态节水运营服务业务、园林环境科技服务业务、土壤修复运营服务业务、环境治理技术服务业务,智慧生态运营服务、清洁能源服务综合在内的生态环保业务。
256,000712,锦龙股份,广东锦龙发展股份有限公司,广东,清远市,10.06亿,-1.41亿,1422,1997-04-15,--,,证券,证券公司业务,证券公司业务
257,000713,丰乐种业,合肥丰乐种业股份有限公司,安徽,合肥市,--,--,1204,1997-04-22,--,,种子,杂交水稻种子、杂交玉米种子、常规水稻种子、瓜菜种子、小麦种子、油菜种子、棉花种子、除草剂、杀虫剂、杀菌剂、种衣剂、天然薄荷脑、薄荷素油,种子和农化、香料产业。
258,000715,中兴商业,中兴-沈阳商业大厦(集团)股份有限公司,辽宁,沈阳市,8.68亿,1.36亿,1335,1997-05-08,--,,百货,零售、服务费,经营百货商场、连锁超市，停车场服务，非居住房地产租赁，普通货物仓储服务，初级农产品加工销售等。
259,000716,黑芝麻,南方黑芝麻集团股份有限公司,广西,南宁市,--,--,2170,1997-04-18,--,,植物蛋白饮料,冲调系列产品、饮料系列产品、养生系列产品、休闲系列产品,生产销售黑芝麻系列及其他食品、饮料，从事物流大宗商品及农产品贸易、农产品初加工及仓储、装卸、物流服务、电商服务等。
260,000717,韶钢松山,广东韶钢松山股份有限公司,广东,韶关市,--,--,6058,1997-05-08,--,,普钢,特钢棒材、工业线材、中厚板材、建筑用材,制造、加工、销售钢铁冶金产品、金属制品、焦炭及煤化工产品等。
261,000718,苏宁环球,苏宁环球股份有限公司,吉林,吉林市,--,--,777,1997-04-08,--,,房地产开发,房地产业、建筑业、酒店业、文化创意业,房地产开发。
262,000719,中原传媒,中原大地传媒股份有限公司,河南,郑州市,--,--,14172,1997-03-31,--,,平面媒体,出版业务、发行业务、物资销售业务,从事出版物的编辑、生产和市场推广，通过形式多样、门类齐全的出版产品，为广大消费者提供知识、信息和精神文化需求服务。
263,000720,新能泰山,山东新能泰山发电股份有限公司,山东,泰安市,--,--,884,1997-05-09,--,,火电,房屋销售、电缆、供应链、租赁及物业,产业园开发、综合资产运营及大宗商品供应链。
264,000721,西安饮食,西安饮食股份有限公司,陕西,西安市,--,--,3338,1997-04-30,--,,餐饮,餐饮服务、生产制造、租赁,传统餐饮服务和工业化食品的生产及销售。
265,000722,湖南发展,湖南发展集团股份有限公司,湖南,长沙市,4.78亿,1.18亿,285,1997-05-22,--,,水电,电力、砂石、健康产业,能源、健康养老及砂石资源。
266,000723,美锦能源,山西美锦能源股份有限公司,山西,太原市,--,--,4106,1997-05-15,--,,焦炭,焦化产品及副产品、其他,煤炭、焦化、天然气、氢燃料电池汽车为主的新能源汽车等商品的生产销售。
267,000725,京东方A,京东方科技集团股份有限公司,北京,北京市,2193.10亿,304.32亿,79461,2001-01-12,--,,显示器件,显示事业、智慧系统创新事业、智慧医工事业、传感器及解决方案事业,显示器件业务、智慧系统产品业务、智慧健康服务业务。
268,000726,鲁泰A,鲁泰纺织股份有限公司,山东,淄博市,--,--,22583,2000-12-25,--,,棉纺,面料产品、衬衣产品、棉花、电和汽、防火用品,生产销售中、高档衬衫用色织布面料、印染面料、成衣等产品。
269,000727,冠捷科技,冠捷电子科技股份有限公司,江苏,南京市,--,--,22689,1997-05-20,--,,显示器件,显示器、电视、影音,智能显示终端产品的研发、制造、销售与服务。
270,000728,国元证券,国元证券股份有限公司,安徽,合肥市,61.10亿,19.11亿,3688,1997-06-16,--,,证券,经纪业务、资产管理业务、证券信用业务、投行业务、自营投资业务,证券经纪业务、证券信用业务、投资银行业务、自营投资业务、资产管理业务。
271,000729,燕京啤酒,北京燕京啤酒股份有限公司,北京,北京市,--,--,27984,1997-07-16,--,,啤酒,啤酒、矿泉水、茶饮料、饲料,啤酒、饮用水、啤酒原料、茶饮料、酵母、饲料等产品的制造和销售。
272,000731,四川美丰,四川美丰化工股份有限公司,四川,德阳市,--,--,2370,1997-06-17,--,,氮肥,化学肥料、天然气、贸易,"尿素,复合肥,氮氧化物还原剂,三聚氰胺,硝酸,硝铵,包装塑料制品及LNG(液化天然气)等化工产品的制造与销售。"
273,000732,泰禾集团,泰禾集团股份有限公司,福建,福州市,--,--,6096,1997-07-04,--,,房地产开发,房地产、服务、零售,住宅地产和商业地产的开发及运营。
274,000733,振华科技,中国振华(集团)科技股份有限公司,贵州,贵阳市,--,--,6937,1997-07-03,--,,电子元件,现代服务业、整机及系统、新型电子元器件,新型电子元器件和现代服务业。
275,000735,罗牛山,罗牛山股份有限公司,海南,海口市,--,--,2750,1997-06-11,--,,畜牧养殖,生猪、肉制品、教育、商品房、冷链物流服务,生猪养殖及销售、生猪贸易、肉类加工及销售、房地产、教育等。
276,000736,中交地产,中交地产股份有限公司,重庆,重庆市,--,--,1369,1997-04-25,--,,房地产开发,房地产销售、房产租赁、物业管理,房地产开发经营与销售业务。
277,000737,北方铜业,北方铜业(山西)股份有限公司,山西,运城市,--,--,1138,1997-04-28,--,,日用化学品,无机盐系列产品,铜矿开采、铜选矿、冶炼、加工制品、含金铜精矿、阳极泥、金锭、银锭、硫酸、硒粉、铜及铜合金、高精度铜板带、高性能压延铜箔、覆铜板的生产销售。
278,000738,航发控制,中国航发动力控制股份有限公司,江苏,无锡市,41.57亿,5.15亿,7294,1997-06-26,--,,航空装备,发动机控制系统及衍生产品、国际合作、非航空产品,航空发动机控制系统及衍生产品、国际合作业务、非航空产品及其他。
279,000739,普洛药业,普洛药业股份有限公司,浙江,金华市,89.43亿,9.56亿,6133,1997-05-09,--,,化学原料药,原料药中间体、合同研发生产、制剂,原料药中间体、合同研发生产服务（CDMO）、制剂业务和进出口贸易业务。
280,000750,国海证券,国海证券股份有限公司,广西,南宁市,51.70亿,9.07亿,3902,1997-07-09,--,,证券,零售财富管理业务、企业金融服务业务、投资管理业务、销售交易与投资业务、信用业务,证券经纪、投资银行、证券自营、资产管理。
281,000751,锌业股份,葫芦岛锌业股份有限公司,辽宁,葫芦岛市,228.44亿,2.30亿,6738,1997-06-26,--,,铅锌,有色金属冶炼、有色金属贸易,有色金属锌、铅冶炼及深加工产品，同时综合回收有价金属镉、铟、金、银、铋等，并副产硫酸、硫酸锌等。
282,000752,*ST西发,西藏发展股份有限公司,西藏,拉萨市,--,--,266,1997-06-25,--,,啤酒,啤酒,生产、销售啤酒、饮料。
283,000753,漳州发展,福建漳州发展股份有限公司,福建,漳州市,--,--,1722,1997-06-26,--,,汽车销售,汽车销售、自来水生产、污水处理、工程施工、贸易、房地产开发,水务业务、汽贸业务、地产业务及工程建设。
284,000755,山西路桥,山西路桥股份有限公司,山西,太原市,--,--,397,1997-06-27,--,,其他化学原料,高速公路管理与运营,高速公路管理与运营。
285,000756,新华制药,山东新华制药股份有限公司,山东,淄博市,65.60亿,3.62亿,6533,1997-08-06,--,,化学原料药,化学原料药、制剂、医药中间体,开发、制造及销售化学原料药、制剂以及化工产品。
286,000757,浩物股份,四川浩物机电股份有限公司,四川,成都市,--,--,2341,1997-06-27,--,,汽车零部件,机械配件、整车销售、汽车后市场服务,汽车发动机曲轴生产销售、汽车及配件销售、汽车维修、汽车保险代理、汽车装饰装潢等业务。
287,000758,中色股份,中国有色金属建设股份有限公司,北京,北京市,--,--,5064,1997-04-16,--,,铅锌,承包工程、有色金属产品、冶金机械,有色金属采选与冶炼、国际工程承包。
288,000759,中百集团,中百控股集团股份有限公司,湖北,武汉市,123.31亿,-1314.16万,19182,1997-05-19,--,,超市,超市、百货,商业零售。
289,000760,斯太退,斯太尔动力股份有限公司,湖北,荆州市,--,--,30,1997-06-27,--,,汽车零部件,柴油发动机,汽车零部件制造与销售
290,000761,本钢板材,本钢板材股份有限公司,辽宁,本溪市,779.12亿,25.34亿,18858,1998-01-15,--,,普钢,汽车表面板、家电板、石油管线钢、集装箱板、船板等,有钢铁冶炼、压延加工、发电、煤化工、特钢型材、铁路、进出口贸易、科研、产品销售等。
291,000762,西藏矿业,西藏矿业发展股份有限公司,西藏,拉萨市,--,--,606,1997-07-08,--,,其他稀有小金属,采选冶、贸易,铬铁矿、锂矿的开采、加工及销售和贸易业务。
292,000766,通化金马,通化金马药业集团股份有限公司,吉林,通化市,--,--,1990,1997-04-30,--,,中药生产,中成药、化学药、原料药,医药产品的研发、生产与销售。
293,000767,晋控电力,晋能控股山西电力股份有限公司,山西,太原市,--,--,8048,1997-06-09,--,,火电,电力、热力、燃煤、检修服务、节能技术服务、技术研究服务,电力商品、热力商品生产和销售。
294,000768,中航西飞,中航西安飞机工业集团股份有限公司,陕西,西安市,327.00亿,6.53亿,25270,1997-06-26,--,,航空装备,军用飞机整机、飞机零部件、航空服务,军用大中型飞机整机、军民用航空零部件产品的研发、制造、销售、维修与服务。
295,000776,广发证券,广发证券股份有限公司,广东,广州市,342.50亿,120.55亿,13174,1997-06-11,--,,证券,投资银行、财富管理、交易及机构、投资管理,投资银行业务、财富管理业务、交易及机构业务和投资管理业务。
296,000777,中核科技,中核苏阀科技实业股份有限公司,江苏,苏州市,--,--,1156,1997-07-10,--,,基础件,阀门,工业阀门的研发、设计、制造及销售。
297,000778,新兴铸管,新兴铸管股份有限公司,河北,邯郸市,--,--,15837,1997-06-06,--,,普钢,金属制品,离心球墨铸铁管及配套管件、铸造制品、钢塑复合管、钢格板、特种钢管、钢铁冶炼及压延加工等。
298,000779,甘咨询,甘肃工程咨询集团股份有限公司,甘肃,兰州市,--,--,4236,1997-05-28,--,,毛纺,工程咨询,工程咨询技术业务
299,000780,ST平能,内蒙古平庄能源股份有限公司,内蒙古,赤峰市,--,--,6926,1997-06-06,--,,煤炭开采洗选,煤炭,煤炭生产、洗选加工、销售。
300,000782,美达股份,广东新会美达锦纶股份有限公司,广东,江门市,33.20亿,5626.37万,2475,1997-06-19,--,,锦纶,切片、纺织印染布、弹力丝,锦纶6切片和纺丝的生产、销售。
301,000783,长江证券,长江证券股份有限公司,湖北,武汉市,--,--,6364,1997-07-31,--,,证券,经纪及证券金融业务、证券自营业务、投资银行业务、资产管理业务、另类投资及私募股权投资管理业务、海外业务,提供经纪及证券金融、投资银行、资产管理、投资、海外业务等全方位综合金融服务。
302,000785,居然之家,居然之家新零售集团股份有限公司,湖北,武汉市,--,--,11239,1997-07-11,--,,百货,租赁及其管理、加盟管理、装修服务、商品销售、贷款保理利息,从事零售业务，业态主要包含现代百货、购物中心以及超市和家居卖场业务、家居建材超市业务和家装业务。
303,000786,北新建材,北新集团建材股份有限公司,北京,北京市,210.86亿,35.52亿,13590,1997-06-06,--,,其他建材,轻质建材、防水建材,为各类建筑提供：石膏板龙骨万能板矿棉板“全屋装配”室内系统、防水材料、涂料粉料砂浆系统，为客户提供绿色建筑系统解决方案。
304,000788,北大医药,北大医药股份有限公司,重庆,重庆市,--,--,787,1997-06-16,--,,生物医药,抗微生物、治疗精神障碍、调节血糖,主要从事化学药品制剂的研发、生产和销售，医药流通以及医疗服务。
305,000789,万年青,江西万年青水泥股份有限公司,江西,南昌市,--,--,6596,1997-09-23,--,,水泥,硅酸盐水泥、商品混凝土、新型墙材,从事硅酸盐水泥、商品混凝土以及新型墙材的生产和销售。
306,000790,华神科技,成都华神科技集团股份有限公司,四川,成都市,--,--,707,1998-03-27,--,,中药生产,中西成药、生物制药、钢结构制作安装服务,中西成药、生物制药的生产与销售及钢结构房屋建筑设计与施工。
307,000791,甘肃电投,甘肃电投能源发展股份有限公司,甘肃,兰州市,20.12亿,3.17亿,1836,1997-10-14,--,,水电,电力产品,水力发电、风力发电和光伏发电。
308,000792,盐湖股份,青海盐湖工业股份有限公司,青海,海西蒙古族藏族自治州,--,--,6337,1997-09-04,--,,钾肥,氯化钾、盐湖资源综合利用、化工产品、PVC、水泥、百货、碳酸锂、运输,钾肥和锂盐的开发、生产和销售
309,000793,华闻集团,华闻传媒投资集团股份有限公司,海南,海口市,--,--,652,1997-07-29,--,,平面媒体,传播与文化、数字内容服务、动漫产品及动漫服务、信息技术服务,传媒业务及文旅业务的经营。
310,000795,英洛华,英洛华科技股份有限公司,浙江,金华市,37.60亿,9791.92万,4239,1997-08-08,--,,磁性材料,稀土永磁材料与制品、电机系列产品,钕铁硼磁性材料和电机系列产品的研发、生产和销售。
311,000796,凯撒旅业,凯撒同盛发展股份有限公司,海南,三亚市,--,--,4270,1997-07-03,--,,旅游服务,航空配餐及服务、铁路配餐及服务、旅游服务、物业租赁、信息服务,旅游服务和航空、铁路餐饮服务及系统集成等。
312,000797,中国武夷,中国武夷实业股份有限公司,福建,福州市,--,--,6017,1997-07-15,--,,房地产开发,建筑产品、房地产开发产品、商业贸易、劳务、技术服务、物业管理、租赁,国内外房地产开发、国际工程承包、物业管理、国际贸易和零售业务等。
313,000798,中水渔业,中水集团远洋股份有限公司,北京,北京市,4.62亿,-8886.87万,1058,1998-02-12,--,,海洋渔业,金枪鱼、鱿鱼、秋刀鱼,远洋水产品的捕捞、储运、销售和进出口以及紫菜、海带等产品的加工及销售等。
