序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(202112),净利润(202112),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
715,002232,启明信息,启明信息技术股份有限公司,吉林,长春市,10.51亿,4040.47万,1525,2008-05-09,--,,行业应用软件,工业信息,企业数字运营和智慧营销及智慧汽车。
716,002233,塔牌集团,广东塔牌集团股份有限公司,广东,梅州市,77.13亿,18.37亿,2685,2008-05-16,--,,水泥,水泥、石灰石、熟料、商品混凝土、环保处置,各类硅酸盐水泥、预拌混凝土的生产和销售。
717,002234,民和股份,山东民和牧业股份有限公司,山东,烟台市,17.75亿,4259.41万,4727,2008-05-16,--,,畜牧养殖,雏鸡、鸡肉制品、淘汰鸡、电力、生物有机肥、生物燃气,父母代肉种鸡的饲养、商品代肉鸡苗的生产与销售;商品代肉鸡的养殖与销售;饲料、鸡肉制品的生产与销售;利用鸡粪进行沼气发电，并利用沼气发电的副产品开展有机肥的生产与销售。
718,002235,安妮股份,厦门安妮股份有限公司,福建,厦门市,--,--,424,2008-05-16,--,,造纸,版权综合服务、商务信息用纸服务,版权综合服务和商务信息用纸服务。
719,002236,大华股份,浙江大华技术股份有限公司,浙江,杭州市,--,--,17251,2008-05-20,--,,PC、服务器及硬件,视频物联,为城市、企业、家庭数字化转型提供一站式智慧物联服务与解决方案。
720,002237,恒邦股份,山东恒邦冶炼股份有限公司,山东,烟台市,413.83亿,4.27亿,4926,2008-05-20,--,,黄金,贵金属冶炼、有色金属冶炼、有色金属贸易、化工生产、矿粉销售,从事黄金矿产资源开发、贵金属冶炼、高新材料研发及生产、国际贸易等产业务。
721,002238,天威视讯,深圳市天威视讯股份有限公司,广东,深圳市,--,--,2211,2008-05-26,--,,有线电视,有线电视服务、电视购物,为向用户提供有线数字业务（包括基本收视、增值和政企业务）、互联网宽带接入服务和电视、网络购物服务。
722,002239,奥特佳,奥特佳新能源科技股份有限公司,江苏,南京市,--,--,5322,2008-05-22,--,,汽车零部件,机械制造,汽车热管理系统技术开发、产品生产及销售。
723,002240,盛新锂能,盛新锂能集团股份有限公司,广东,深圳市,29.34亿,8.68亿,1765,2008-05-23,--,,家具制造,纤维板、林木、稀土、锂产品,从事新能源材料业务，主要是锂矿采选、基础锂盐的生产与销售以及少量林木业务。
724,002241,歌尔股份,歌尔股份有限公司,山东,潍坊市,782.21亿,43.07亿,95780,2008-05-22,--,,电子零部件,精密零组件、智能声学整机、智能硬件,精密零组件业务、智能声学整机业务和智能硬件业务。
725,002242,九阳股份,九阳股份有限公司,山东,济南市,105.40亿,7.01亿,2915,2008-05-28,--,,小家电,厨房小家电产品,小家电系列产品的研发、生产和销售。
726,002243,力合科创,深圳市力合科创股份有限公司,广东,深圳市,30.09亿,7.83亿,4330,2008-05-28,--,,包装印刷,科技创新服务、新材料,塑料包装及容器、科技创新服务。
727,002244,滨江集团,杭州滨江房产集团股份有限公司,浙江,杭州市,--,--,1555,2008-05-29,--,,房地产开发,房产销售、房产项目管理服务、房产租赁、酒店管理服务,房地产开发及其延伸业务的经营。
728,002245,蔚蓝锂芯,江苏蔚蓝锂芯股份有限公司,江苏,苏州市,66.80亿,7.10亿,3264,2008-06-05,--,,物流,锂电池、LED芯片、金属物流配送,LED芯片业务、锂电池及金属物流配送。
729,002246,北化股份,北方化学工业股份有限公司,四川,泸州市,--,--,3611,2008-06-05,--,,聚氨酯,化学原料、专用设备,以硝化棉系列产品为核心的纤维素及其衍生物产业和以活性炭为基础的环保器材及核生化防护装备制造产业及以渣浆泵为核心的特种工业泵系列产品环保装备的制造。
730,002247,聚力文化,浙江聚力文化发展股份有限公司,浙江,杭州市,11.64亿,8066.50万,1487,2008-06-12,--,,装修装饰材料,建筑装饰贴面材料,中高端建筑装饰贴面材料的研发、设计、生产和销售。
731,002248,华东数控,威海华东数控股份有限公司,山东,威海市,--,--,366,2008-06-12,--,,机床设备,数控机床产品、普通机床产品、机床配件产品,数控机床、普通机床及其关键功能部件的研发、生产和销售。
732,002249,大洋电机,中山大洋电机股份有限公司,广东,中山市,--,--,12632,2008-06-19,--,,电机,起动机及发电机、新能源汽车动力总成系统、磁性材料、汽车租赁、建筑及家居用电机,微特电机、新能源汽车电驱动系统、汽车起动机及发电机和磁性材料等的生产和销售。
733,002250,联化科技,联化科技股份有限公司,浙江,台州市,--,--,5751,2008-06-19,--,,农药,医药、农药、功能化学品、贸易,植保、医药和功能化学品三大板块。
734,002251,步步高,步步高商业连锁股份有限公司,湖南,湘潭市,--,--,24335,2008-06-19,--,,超市,批发零售,商品零售。
735,002252,上海莱士,上海莱士血液制品股份有限公司,上海,上海市,--,--,2976,2008-06-23,--,,生物医药,白蛋白、免疫球蛋白类、凝血因子类,生产和销售血液制品。
736,002253,川大智胜,四川川大智胜软件股份有限公司,四川,成都市,3.01亿,2436.37万,634,2008-06-23,--,,行业应用软件,航空及空管产品与服务、人工智能产品与服务、虚拟现实和增强现实产品与服务、信息化及其他产品与服务,民航空管产品和服务，如空管自动化系统、多通道数字同步记录仪、雷达模拟机、塔台视景模拟机等，航空公司在岗飞行员飞行模拟机培训业务，军航业务，信息化业务以及高精度三维人脸照相机和高精度三维人脸识别软件基于地-空通话自动识别的空管指挥安全自动监察系统，管制员飞行训练模拟机，宽带融合三坐标低空监视雷达网络，远程数字孪生机场塔台。
737,002254,泰和新材,烟台泰和新材料股份有限公司,山东,烟台市,--,--,1908,2008-06-25,--,,氨纶,氨纶、芳纶,氨纶、芳纶等高性能纤维的研发生产及销售。
738,002255,海陆重工,苏州海陆重工股份有限公司,江苏,苏州市,--,--,1242,2008-06-25,--,,锅炉,工业制造、环保工程服务、环保运营、新能源业务,从事工业余热锅炉、大型及特种材质压力容器和核安全设备的制造销售业务。
739,002256,兆新股份,深圳市兆新能源股份有限公司,广东,深圳市,3.40亿,-5.00亿,269,2008-06-25,--,,涂料涂漆,精细化工、新材料、光伏发电、光伏发电设备,精细化工、室内环境治理、生物降解材料、新能源太阳能发电、新能源汽车运营、新能源汽车充电投资。
740,002258,利尔化学,利尔化学股份有限公司,四川,成都市,64.94亿,11.63亿,5360,2008-07-08,--,,农药,农药原药、农药制剂、化工材料,主要从事氯代吡啶类、有机磷类等高效、低毒、低残留的安全农药原药的研发、生产和销售。
741,002259,ST升达,四川升达林业产业股份有限公司,四川,成都市,--,--,263,2008-07-16,--,,燃气,燃气行业,天然气液化加工。
742,002260,*ST德奥,德奥通用航空股份有限公司,广东,佛山市,--,--,919,2008-07-16,--,,小家电,电器设备业务、通用航空业务、工贸业务,提供电饭煲、电烤炉、电煎板、电压力锅、多用锅、电烤箱等厨房小家电产品以及电磁灶、电磁蒸柜等零排放智能商用厨房设备的研发、制造及营销服务
743,002261,拓维信息,拓维信息系统股份有限公司,湖南,长沙市,--,--,3932,2008-07-23,--,,行业应用软件,教育服务、手机游戏、软件云服务,以教育服务为主航道，以软件云服务和移动游戏业务为两翼协同发展
744,002262,恩华药业,江苏恩华药业股份有限公司,江苏,徐州市,39.36亿,7.98亿,4732,2008-07-23,--,,化学制剂,麻醉类、精神类、神经类、其他制剂、原料药、商业医药,医药生产、研发和销售。
745,002263,大东南,浙江大东南股份有限公司,浙江,绍兴市,--,--,719,2008-07-28,--,,塑料制品,塑料包装、网络游戏,从事各类塑料薄膜及新材料的研发、生产和销售
746,002264,新华都,新华都购物广场股份有限公司,福建,福州市,50.32亿,1579.80万,4704,2008-07-31,--,,超市,生鲜、食品、日用品、百货,以数据研究为基础的效果营销服务提供商。
747,002265,西仪股份,云南西仪工业股份有限公司,云南,昆明市,7.84亿,609.29万,1617,2008-08-06,--,,汽车零部件,汽车发动机连杆、其他工业产品、机床零部件,汽车发动机连杆、其他工业产品、其他产品的研发与生产。
748,002266,浙富控股,浙富控股集团股份有限公司,浙江,杭州市,--,--,5787,2008-08-06,--,,机械设备制造业,清洁能源设备、特种发电机、石油采掘、危险废物处置及资源化产品,危险废物无害化处理及再生资源回收利用业务、清洁能源装备的水电业务和核电业务。
749,002267,陕天然气,陕西省天然气股份有限公司,陕西,西安市,--,--,2138,2008-08-13,--,,燃气,长输管道、城市燃气,长输管道的建设与运营及城市燃气销售。
750,002268,卫士通,成都卫士通信息产业股份有限公司,四川,成都市,--,--,2409,2008-08-11,--,,其他软件服务,安全产品、安全服务、安全集成,从事信息安全产品研制、生产及销售，产品线覆盖数据安全、网络安全、应用安全、安全平台等类别。
751,002269,美邦服饰,上海美特斯邦威服饰股份有限公司,上海,上海市,--,--,4951,2008-08-28,--,,休闲服装,服装,品牌时尚休闲服饰产品的设计和销售。
752,002270,华明装备,华明电力装备股份有限公司,山东,济南市,--,--,1611,2008-09-05,--,,其他输变电设备,电力设备、数控设备、电力工程,变压器有载分接开关和数控设备的研发、生产、销售以及电力工程和其他工程业务。
753,002271,东方雨虹,北京东方雨虹防水技术股份有限公司,北京,北京市,--,--,9919,2008-09-10,--,,其他建材,防水卷材、防水涂料、防水施工,从事新型建筑防水材料的研发、生产、销售及防水工程施工业务。
754,002272,川润股份,四川川润股份有限公司,四川,成都市,15.31亿,5835.93万,1779,2008-09-19,--,,基础件,液压润滑流体工业技术服务、电站锅炉工程技术服务、产业互联网、工业互联网服务,流体机械与控制技术、节能环保动力装备的研发、生产和销售，以及清洁能源项目投资运营及EPC服务。
755,002273,水晶光电,浙江水晶光电科技股份有限公司,浙江,台州市,38.09亿,4.61亿,6308,2008-09-19,--,,光学元件,光学成像元器件、生物识别、薄膜光学面板、新型显示、反光材料,"从事光学影像,薄膜光学面板,汽车电子(AR+),反光材料等领域相关产品的研发,生产和销售。"
756,002274,华昌化工,江苏华昌化工股份有限公司,江苏,苏州市,--,--,3283,2008-09-25,--,,复合肥,纯碱行业、肥料行业、新材料,化工原料、化工产品、化肥生产;金属材料、建筑材料、日用百货、煤炭销售。
757,002275,桂林三金,桂林三金药业股份有限公司,广西,桂林市,--,--,2561,2009-07-10,--,,中药生产,医药,中成药的研发、制造与销售，同时涵盖化学药品制剂、生物制剂与日化保健大健康等多个细分行业。
758,002276,万马股份,浙江万马股份有限公司,浙江,杭州市,--,--,5143,2009-07-10,--,,电线电缆,电力、通信、高分子材料、贸易,电线电缆、高分子材料、汽车充电设备等产品的研发、生产和销售，以及光伏发电与运维服务
759,002277,友阿股份,湖南友谊阿波罗商业股份有限公司,湖南,长沙市,--,--,3938,2009-07-17,--,,百货,零售、彩票、房地产、宾馆餐饮,百货零售。
760,002278,神开股份,上海神开石油化工装备股份有限公司,上海,上海市,--,--,749,2009-08-11,--,,矿山冶金机械,制造业,研发、制造、销售石油化工仪器装备及提供相关工程技术服务。
761,002279,久其软件,北京久其软件股份有限公司,北京,北京市,--,--,2726,2009-08-11,--,,基础软件,软件产品、技术服务、硬件产品、信息服务,电子政务、集团管控、数字传播领域的研发和管理咨询服务。
762,002280,联络互动,杭州联络互动信息科技股份有限公司,浙江,杭州市,--,--,1954,2009-08-21,--,,电子商务B2B,电商及经销、应用分发及数据运营、文化传媒,电商业务为核心，发展广告传媒业务，培育智能硬件业务，兼具战略投资为辅的集团经营版图。
763,002281,光迅科技,武汉光迅科技股份有限公司,湖北,武汉市,--,--,4578,2009-08-21,--,,通信传输设备,光电子器件、模块、子系统产品,光电子器件及子系统产品研发、生产、销售及技术服务。
764,002282,博深股份,博深股份有限公司,河北,石家庄市,--,--,1886,2009-08-21,--,,其他通用机械,金刚石工具、电动工具、合金工具、纸基涂附磨具、布基涂附磨具、薄膜基涂附磨具、轨交装备零部件、租赁业,金刚石工具的研发、生产和销售。
765,002283,天润工业,天润工业技术股份有限公司,山东,威海市,47.21亿,5.40亿,3687,2009-08-21,--,,汽车零部件,汽车零部件,曲轴、连杆、铸锻件、空气悬架生产制造。
766,002284,亚太股份,浙江亚太机电股份有限公司,浙江,杭州市,--,--,2630,2009-08-28,--,,汽车零部件,汽车零部件,汽车基础制动系统、汽车电子控制系统、智能驾驶系统、轮毂电机以及线控底盘系统的开发、生产、销售。
767,002285,世联行,深圳世联行集团股份有限公司,广东,深圳市,--,--,21237,2009-08-28,--,,房地产服务,代理销售业务、互联网+业务、金融服务业务、资产运营服务、物业管理服务、装修服务业务、顾问策划业务、资产投资服务,房地产咨询、房地产代理、房地产经纪、物业管理。
768,002286,保龄宝,保龄宝生物股份有限公司,山东,德州市,--,--,1122,2009-08-28,--,,糖醇,食品制造,功能糖的研发、制造及方案服务。
769,002287,奇正藏药,西藏奇正藏药股份有限公司,西藏,林芝市,--,--,2310,2009-08-28,--,,中药生产,消痛贴膏、青鹏软膏、白脉软膏、红花如意丸、铁棒锤止痛膏,藏药的研发、生产和销售。
770,002288,超华科技,广东超华科技股份有限公司,广东,梅州市,24.72亿,7115.04万,1911,2009-09-03,--,,印制电路板,印制电路板、覆铜箔板、铜箔、半固化片,从事高精度电子铜箔、各类覆铜板等电子基材和印制电路板(PCB)的研发、生产和销售。
771,002289,宇顺电子,深圳市宇顺电子股份有限公司,广东,深圳市,--,--,425,2009-09-03,--,,显示器件,液晶显示屏及模块、触控显示模组,液晶显示屏及模组、触摸屏及模组、触摸显示一体化模组、玻璃盖板等产品的研发、生产和销售。
772,002290,禾盛新材,苏州禾盛新型材料股份有限公司,江苏,苏州市,--,--,775,2009-09-03,--,,家电用复合材、金融业-商业保理,家电用外观复合材料、商业保理业务,家用电器复合材料的研发生产、销售以及PCM、VCM板材的定制等。
773,002291,星期六,星期六股份有限公司,广东,佛山市,--,--,1772,2009-09-03,--,,鞋帽,时尚女鞋、互联网广告行业,多品牌中高端时尚皮鞋的生产和销售，并批发、零售多元化的时尚产品；以移动互联网精准营销为核心的信息技术服务业务。
774,002292,奥飞娱乐,奥飞娱乐股份有限公司,广东,广州市,--,--,3906,2009-09-10,--,,动漫,玩具销售、影视类、婴童用品、电视媒体、游戏类、信息服务类,动漫IP及其内容的创作、传播和运营，以及玩具衍生品、婴童产品的研发、生产和销售。
